Title,Engine codes,Power kW / HP,Capacity (ccm),Cylinders,Valves,Fuel type,Production year,Model
VAUXHALL ASTRA Mk II Belmont (T85) 1.4 S,14 NV,55 kW / 75 HP,1389 ccm,4 cylinders,8 valves,Petrol,1989/10 - 1991/12,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.6,16 S,66 kW / 90 HP,1598 ccm,4 cylinders,8 valves,Petrol,1985/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.6 D,"16 D, 16 DA",40 kW / 54 HP,1598 ccm,4 cylinders,8 valves,Diesel,1985/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.6 S,16 SV,60 kW / 82 HP,1598 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1991/12,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.7 D,17 D,42 kW / 57 HP,1699 ccm,4 cylinders,8 valves,Diesel,1989/01 - 1991/12,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.8,18 SE,82 kW / 111 HP,1796 ccm,4 cylinders,8 valves,Petrol,1986/01 - 1990/12,VAUXHALL
VAUXHALL ASTRA Mk II Belmont (T85) 1.8 i,"18 E, 18 SE",85 kW / 115 HP,1796 ccm,4 cylinders,8 valves,Petrol,1985/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Convertible (T85) 1.4 S (43),14 NV,55 kW / 75 HP,1389 ccm,4 cylinders,8 valves,Petrol,1991/09 - 1993/09,VAUXHALL
VAUXHALL ASTRA Mk II Convertible (T85) 1.6 i,16 SV,60 kW / 82 HP,1598 ccm,4 cylinders,8 valves,Petrol,1987/01 - 1991/12,VAUXHALL
VAUXHALL ASTRA Mk II Convertible (T85) 2.0 i,"20 NE, C 20 NE",85 kW / 115 HP,1998 ccm,4 cylinders,8 valves,Petrol,1987/01 - 1991/12,VAUXHALL
VAUXHALL ASTRA Mk II Convertible (T85) 2.0 i Cat,C 20 NE,85 kW / 115 HP,1998 ccm,4 cylinders,8 valves,Petrol,1991/01 - 1993/08,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.2,12 S,44 kW / 60 HP,1196 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1988/12,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.3,13 S,55 kW / 75 HP,1297 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.4 S,14 NV,55 kW / 75 HP,1389 ccm,4 cylinders,8 valves,Petrol,1989/01 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.6,16 SV,60 kW / 82 HP,1598 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.6 D,16 DA,40 kW / 54 HP,1598 ccm,4 cylinders,8 valves,Diesel,1984/09 - 1989/12,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.6 S,16 S,66 kW / 90 HP,1598 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1986/08,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.7 D,17 D,42 kW / 57 HP,1699 ccm,4 cylinders,8 valves,Diesel,1989/02 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Estate (T85) 1.8 i,18 E,83 kW / 112 HP,1796 ccm,4 cylinders,8 valves,Petrol,1990/01 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.2,12 S,44 kW / 60 HP,1196 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.2,12 S,40 kW / 54 HP,1196 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.3,13 S,55 kW / 75 HP,1297 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.4 i,C 14 NZ,44 kW / 60 HP,1389 ccm,4 cylinders,8 valves,Petrol,1990/01 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.4 S,14 NV,55 kW / 75 HP,1389 ccm,4 cylinders,8 valves,Petrol,1990/01 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.6,16 SV,60 kW / 82 HP,1598 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.6 D,"16 D, 16 DA",40 kW / 54 HP,1598 ccm,4 cylinders,8 valves,Diesel,1984/09 - 1989/12,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.6 S,16 SH,66 kW / 90 HP,1598 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1986/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.7 D,17 DR,42 kW / 57 HP,1699 ccm,4 cylinders,8 valves,Diesel,1988/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.8 GTE,"18 E, 18 SE",82 kW / 112 HP,1796 ccm,4 cylinders,8 valves,Petrol,1984/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 1.9,C 20 XE,110 kW / 149 HP,1998 ccm,4 cylinders,16 valves,Petrol,1988/03 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 2.0,20 NE,85 kW / 115 HP,1998 ccm,4 cylinders,8 valves,Petrol,1986/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 2.0 GTE,20 SEH,95 kW / 129 HP,1998 ccm,4 cylinders,8 valves,Petrol,1986/09 - 1991/08,VAUXHALL
VAUXHALL ASTRA Mk II Hatchback (T85) 2.0 GTE 16V,20 XE,115 kW / 156 HP,1998 ccm,4 cylinders,16 valves,Petrol,1988/05 - 1991/08,VAUXHALL
